Country/Region,Province,Date,Type,Reference
Latvia,,13/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Latvia
Lebanon,,16/03/2020,Full,https://www.haaretz.com/middle-east-news/lebanon-goes-on-virus-lockdown-as-iraqis-go-panic-shopping-ahead-of-curfew-1.8679069
Liberia,,,None,
Libya,,,None,
Liechtenstein,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Liechtenstein
Lithuania,,16/03/2020,Full,https://www.euractiv.com/section/coronavirus/short_news/lithuania-update-covid-19/
Luxembourg,,16/03/2020,Full,https://luxtimes.lu/luxembourg/40100-germany-border-checks-add-to-luxembourg-virus-lockdown
Madagascar,,17/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Madagascar
Malaysia,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malaysia
Maldives,,11/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Maldives
Mali,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mali
Malta,,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malta
Mauritania,,,None,
Mauritius,,17/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mauritius
Mexico,,14/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico
Moldova,,11/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Moldova
Monaco,,17/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco
Mongolia,,10/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mongolia
Montenegro,,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montenegro
Morocco,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Morocco
Mozambique,,,None,
MS Zaandam,,,None,
Namibia,,14/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Namibia
Nepal,,24/03/2020,Full,https://edition.cnn.com/travel/article/nepal-trekkers-stranded-coronavirus-scli-intl/index.html
Netherlands,Aruba,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba
Netherlands,,24/03/2020,Full,https://www.ukrant.nl/why-the-netherlands-is-not-on-lockdown-yet/?lang=en
Netherlands,Curacao,,None,
Netherlands,Sint Maarten,,None,
New Zealand,,25/03/2020,Full,https://www.bbc.co.uk/news/av/world-52001578/coronavirus-new-zealand-announces-lockdown
Nicaragua,,,None,
Niger,,,None,
Nigeria,,25/03/2020,Full,https://uk.reuters.com/article/uk-health-coronavirus-nigeria-security/nigerian-army-prepares-for-coronavirus-lockdown-mass-burials-idUKKBN21C2BL
North Macedonia,,18/03/2020,Full,https://balkaninsight.com/2020/03/19/volunteers-help-north-macedonias-elderly-survive-lockdown/
Norway,,12/03/2020,Full,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
Oman,,29/03/2020,Partial,https://www.omanobserver.om/oman-to-suspend-all-domestic-and-international-flights-from-sunday612586-2/
Pakistan,,26/03/2020,Full,https://sourcingjournal.com/topics/sourcing/pakistan-coronavirus-lockdown-garment-factories-closed-synergies-worldwide-levis-202444/
Palestine,,05/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_State_of_Palestine
Panama,,25/03/2020,Full,https://news.yahoo.com/panama-orders-lockdown-paraguay-closes-borders-072748034.html
Papua New Guinea,,,None,
Paraguay,,15/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Paraguay
Peru,,10/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Peru
Philippines,,16/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Philippines
Poland,,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland
Portugal,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Portugal
Qatar,,11/03/2020,Full,https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison
Romania,,25/03/2020,Full,https://www.garda.com/crisis24/news-alerts/326626/romania-government-announces-lockdown-measures-on-march-25-update-2
Russia,,27/03/2020,Full,https://www.independent.co.uk/news/world/europe/coronavirus-russia-lockdown-putin-cases-latest-a9429601.html
Rwanda,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rwanda
Saint Kitts and Nevis,,,None,
Saint Lucia,,20/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saint_Lucia
Saint Vincent and the Grenadines,,,None,
San Marino,,09/03/2020,Full,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown
Saudi Arabia,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saudi_Arabia
Senegal,,24/03/2020,Partial,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Serbia,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Seychelles,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Seychelles
Sierra Leone,,,None,
Singapore,,26/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore
Slovakia,,09/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovakia
Slovenia,,11/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia
Somalia,,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia
South Africa,,26/03/2020,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Spain,,14/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Sri Lanka,,21/03/2020,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Sudan,,,None,
Suriname,,,None,
Sweden,,,None,
Switzerland,,18/03/2020,Full,https://www.cnnmoney.ch/shows/big-picture/videos/switzerland-desperate-race-stay-ahead-coronavirus
Syria,,14/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Syria
Taiwan*,,02/02/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan
Tanzania,,,None,
Thailand,,22/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Thailand
Timor-Leste,,,None,
Togo,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Togo
Trinidad and Tobago,,13/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Trinidad_and_Tobago
Tunisia,,20/03/2020,Full,https://www.france24.com/en/20200320-tunisia-orders-general-lockdown-in-bid-to-contain-coronavirus
Turkey,,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey
Uganda,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uganda
Ukraine,,17/03/2020,Full,https://www.ukrinform.net/rubric-society/2899162-ten-facts-about-coronavirus-lockdown-in-ukraine.html
United Arab Emirates,,24/03/2020,Full,https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM
United Kingdom,Anguilla,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Anguilla
United Kingdom,Bermuda,,None,
United Kingdom,British Virgin Islands,,None,
United Kingdom,Cayman Islands,,None,
United Kingdom,Channel Islands,,None,
United Kingdom,Gibraltar,24/03/2020,Full,https://www.theolivepress.es/spain-news/2020/03/22/full-lockdown-in-gibraltar-from-tuesday-morning-as-coronavirus-spikes/
United Kingdom,Isle of Man,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Isle_of_Man
United Kingdom,Montserrat,,None,
United Kingdom,Turks and Caicos Islands,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Turks_and_Caicos_Islands
United Kingdom,,23/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Uruguay,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uruguay
US,Alabama,04/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Alaska,28/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Arizona,31/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Arkansas,,None,
US,California,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Colorado,26/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Connecticut,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Delaware,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,District of Columbia,,None,
US,Florida,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Georgia,,None,
US,Guam,26/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guam
US,Hawaii,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Idaho,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Illinois,21/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Indiana,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Iowa,,None,
US,Kansas,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Kentucky,26/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Louisiana,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Maine,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Maryland,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Massachusetts,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Michigan,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Minnesota,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Mississippi,03/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Missouri,06/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Montana,28/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Nebraska,,None,
US,Nevada,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Hampshire,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Jersey,21/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Mexico,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New York,22/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,North Carolina,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,North Dakota,,None,
US,Ohio,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Oklahoma,,None,
US,Oregon,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Pennsylvania,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Puerto Rico,13/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico
US,Rhode Island,28/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,South Carolina,,None,
US,South Dakota,,None,
US,Tennessee,31/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Texas,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Utah,,None,
US,Vermont,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Virgin Islands,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States_Virgin_Islands
US,Virginia,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Washington,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,West Virginia,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Wisconsin,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Wyoming,,None,
Uzbekistan,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uzbekistan
Vatican City,,10/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vatican_City
Venezuela,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Venezuela
Vietnam,,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam
West Bank and Gaza,,05/03/2020,Full,
Zambia,,,None,
Zimbabwe,,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Zimbabwe